N,P,K,temperature,humidity,ph,rainfall,label
1.2043,-0.4355,-0.2399,-0.3463,0.5243,-1.1736,3.3084,rice
0.256,-0.3142,-0.0819,-0.908,0.5153,1.2236,3.5478,rice
0.3373,-0.2839,-0.1412,-0.2851,0.5502,-1.1452,2.7949,rice
0.3102,-0.3446,-0.2399,-0.56,0.4756,-0.051,2.6436,rice
0.3644,-0.2536,-0.1017,0.0027,0.5412,-1.2079,1.9371,rice
0.8791,0.2013,-0.2399,-0.0038,0.3892,0.5615,1.7721,rice
0.852,-0.4052,-0.1609,-0.3527,0.5989,-0.2559,3.5507,rice
0.9333,-0.0413,-0.0622,0.1377,0.489,0.9755,2.9497,rice
1.0959,-0.5568,-0.2004,-0.142,0.4063,-0.4332,1.4599,rice
0.6895,-0.1323,-0.1214,-0.1299,0.5839,-1.6324,1.7015,rice
0.6353,-0.4355,-0.2004,-0.4691,0.589,1.6964,2.3584,rice
0.7708,-0.3142,-0.1807,-0.7802,0.4146,0.7668,1.9538,rice
1.0146,0.0496,-0.0622,-0.1937,0.4013,1.6296,2.7346,rice
0.256,-0.5265,-0.1017,-0.4316,0.5203,-1.5293,2.1192,rice
0.6895,0.2013,-0.1807,-1.1004,0.3983,0.3835,1.9131,rice
1.1501,0.08,-0.1214,-0.3475,0.4827,1.1803,1.6677,rice
0.3915,0.2013,-0.1017,-0.7198,0.468,-1.0485,2.2549,rice
1.2043,-0.0413,-0.2399,0.1211,0.555,-1.1969,3.3314,rice
0.6624,-0.4658,-0.1807,-0.4285,0.598,-0.3287,3.2845,rice
0.6353,0.0193,-0.2004,0.0078,0.5386,0.8411,2.0732,rice
1.0959,-0.5265,-0.0622,-0.2317,0.493,-0.6705,2.9941,rice
0.554,-0.2233,-0.1609,-1.054,0.4781,0.9916,1.6105,rice
1.3126,0.0496,-0.2597,-0.7689,0.3934,0.0416,3.1758,rice
0.5811,-0.4052,-0.2004,-1.0275,0.4819,1.4514,2.5787,rice
0.8791,0.1406,-0.0622,0.0275,0.5408,-0.7679,2.588,rice
1.1501,0.1406,-0.2004,-0.9878,0.5522,0.5983,3.2046,rice
0.5269,-0.5265,-0.1214,-0.7457,0.4154,0.6161,1.8003,rice
0.6895,-0.1929,-0.1214,-1.0928,0.5305,-0.9438,2.9151,rice
1.3126,-0.3749,-0.2399,-0.2288,0.5062,0.3479,1.4396,rice
1.3126,0.0193,-0.2202,-0.8835,0.3977,-1.1304,1.7328,rice
0.9604,0.1709,-0.2597,0.0338,0.4775,0.6167,2.5488,rice
0.4998,-0.2233,-0.1412,-0.3901,0.3955,-1.8834,2.9055,rice
1.0959,0.08,-0.2202,-0.4315,0.4082,-0.137,3.0219,rice
0.2831,-0.0413,-0.1412,-0.1263,0.5575,0.5311,1.8443,rice
0.4456,-0.2536,-0.2004,-0.5705,0.4802,1.0739,2.8651,rice
0.7708,-0.3446,-0.2202,-0.1468,0.5103,0.1531,3.497,rice
0.7437,-0.3142,-0.1214,-0.8479,0.5176,1.0523,1.6172,rice
0.6624,0.0193,-0.2399,0.134,0.588,0.7166,2.8033,rice
1.2585,-0.5265,-0.0622,-0.6691,0.4662,0.6069,3.178,rice
0.4456,-0.1929,-0.0819,0.2201,0.4629,1.808,3.2203,rice
0.6082,-0.5568,-0.2004,-0.1436,0.4716,-1.8923,1.5012,rice
0.7166,-0.5265,-0.2202,0.2505,0.4483,-0.4308,1.6582,rice
0.825,-0.3749,-0.2004,-0.5803,0.5502,1.363,1.7736,rice
0.4727,0.1103,-0.1017,0.0933,0.3998,-0.9855,1.4458,rice
0.5811,-0.2536,-0.2597,-0.0368,0.5151,-0.9189,1.6724,rice
0.2831,-0.011,-0.1017,0.1555,0.4301,-0.1549,2.1822,rice
0.4456,-0.3142,-0.1807,0.0844,0.6059,-0.6068,1.5159,rice
0.4456,0.1406,-0.1807,-0.0659,0.4071,-1.3129,2.123,rice
0.4185,0.2013,-0.2004,-0.6974,0.5386,-0.1252,2.3345,rice
0.852,-0.3142,-0.2004,-0.4603,0.4471,-1.7627,2.5271,rice
0.9062,-0.102,-0.0819,-0.0257,0.4459,-0.6903,1.4413,rice
0.825,-0.011,-0.1214,-0.3833,0.4292,-1.6693,2.3703,rice
1.0959,-0.102,-0.1609,-0.9464,0.5684,-0.0092,2.307,rice
1.1501,-0.011,-0.2004,0.2595,0.4687,0.775,3.4073,rice
1.0688,-0.2839,-0.2004,-0.3518,0.5572,1.2971,2.5068,rice
0.825,-0.2536,-0.2597,0.1802,0.3882,-0.4021,2.1012,rice
0.7437,-0.4052,-0.2004,0.1675,0.5559,1.3963,2.6346,rice
0.256,-0.0716,-0.2399,-0.5767,0.509,-0.5701,2.7943,rice
1.0146,-0.2233,-0.1214,-0.5794,0.5383,0.1751,1.6526,rice
1.1501,-0.1929,-0.2202,-0.8065,0.4788,0.0399,3.5027,rice
0.256,0.0496,-0.0622,-0.8311,0.5323,-0.6898,3.3508,rice
0.7437,-0.5568,-0.0819,0.1832,0.5927,0.7795,1.4589,rice
0.3915,-0.4962,-0.1609,-0.4459,0.5442,-1.4684,1.5461,rice
0.554,0.0193,-0.6349,-0.5931,-0.35,-0.93,-0.2858,maize
0.2831,-0.2839,-0.6152,0.0956,0.0042,0.5974,-0.0218,maize
0.7979,-0.3142,-0.6349,-0.4064,0.005,0.2436,-0.6687,maize
0.6082,0.1406,-0.5362,-1.1149,-0.6199,0.1636,-0.7792,maize
0.2831,-0.4658,-0.5559,-1.4098,-0.3948,-0.6449,-0.692,maize
0.4727,-0.3749,-0.6349,-0.7584,-0.6143,-0.4015,-0.0251,maize
1.1501,-0.3749,-0.6152,0.0011,-0.2236,-0.5448,0.0364,maize
1.0417,0.2013,-0.5757,-0.0838,-0.2153,-0.7183,-0.4622,maize
0.6895,-0.2839,-0.6152,-1.027,-0.4011,-0.7936,-0.695,maize
0.4456,0.2013,-0.4572,-0.1372,-0.211,-0.9295,0.1047,maize
0.5269,-0.2839,-0.5757,-0.4542,0.0886,-0.7972,-0.1668,maize
1.0688,-0.1323,-0.5362,-0.1533,-0.1403,0.0039,-0.5352,maize
0.3102,-0.0413,-0.6349,-0.6599,-0.5679,0.6431,-0.7206,maize
1.123,-0.2839,-0.6349,-1.3311,-0.2567,-0.4995,-0.1584,maize
0.4185,0.0193,-0.5362,-0.0842,-0.5068,-0.7114,-0.5704,maize
0.3373,0.1406,-0.5164,-1.4542,-0.7278,-0.3421,-0.7233,maize
0.5269,-0.1929,-0.6152,-0.1982,-0.0479,0.1698,0.0127,maize
0.2831,-0.3749,-0.6152,-0.0937,-0.2794,-0.5784,-0.4874,maize
0.4185,-0.011,-0.5757,-0.4983,-0.5106,-0.5634,-0.691,maize
0.6353,0.0496,-0.5757,-1.4945,-0.3858,-0.2334,-0.3499,maize
0.7166,0.1103,-0.5362,-0.1351,0.1043,0.1048,-0.4317,maize
1.3126,-0.102,-0.6546,-1.4754,-0.0174,-1.1582,-0.28,maize
0.6353,0.08,-0.5164,-1.4484,-0.2166,0.4649,-0.4093,maize
0.8791,-0.2536,-0.5362,-1.3398,-0.572,-0.9735,-0.4315,maize
1.3397,-0.1626,-0.6349,0.0203,-0.1914,-1.1885,-0.5269,maize
0.7708,-0.0716,-0.6349,-0.055,-0.134,0.1509,-0.1274,maize
1.1772,-0.4355,-0.5954,-0.3408,-0.6287,-0.7449,-0.0115,maize
0.6624,-0.1323,-0.6546,-0.806,0.0012,-0.7124,-0.0178,maize
0.7437,-0.1626,-0.5164,-0.4991,-0.3764,-1.1384,-0.6011,maize
0.9875,0.0193,-0.5559,0.0002,-0.3599,0.1382,0.0977,maize
0.9875,-0.5568,-0.4572,-0.8239,-0.3738,-0.3766,-0.6838,maize
0.3373,-0.3142,-0.5757,-1.4021,-0.7166,0.2228,-0.2271,maize
0.9062,0.1103,-0.4572,-0.6086,-0.1568,0.0253,-0.7108,maize
0.3644,-0.5568,-0.4967,-0.5128,-0.4307,-1.0198,-0.7357,maize
0.256,-0.2233,-0.5164,-0.1427,-0.2636,0.2015,-0.2827,maize
1.2855,-0.2839,-0.5362,0.0307,0.1171,0.0711,0.0733,maize
0.6624,0.08,-0.5954,-1.2282,-0.4099,-0.9994,-0.7737,maize
0.9604,0.0496,-0.5362,-0.8049,-0.532,0.4322,0.1144,maize
1.2855,-0.5568,-0.5954,-0.3593,0.1504,-0.28,-0.2129,maize
0.6895,0.1103,-0.5954,-1.3108,0.1368,-0.4869,-0.1675,maize
1.3126,0.08,-0.6152,-0.2978,0.0741,-0.3039,-0.5895,maize
0.256,-0.2839,-0.4967,-0.1623,-0.0645,-0.9653,-0.4866,maize
0.6353,-0.1626,-0.6152,-0.7871,-0.5034,-0.0502,-0.6233,maize
1.0417,0.2013,-0.6152,-0.0476,-0.6412,-0.6275,-0.0321,maize
0.4998,-0.0716,-0.4967,-0.6714,0.0617,0.4293,0.0575,maize
1.2314,-0.2233,-0.5164,-0.9942,-0.1114,0.0394,-0.6765,maize
0.2831,0.2013,-0.6546,-0.1464,-0.1231,-0.2635,-0.2221,maize
0.6353,0.1406,-0.5954,-1.102,-0.6795,0.3332,0.1012,maize
0.6353,-0.3142,-0.4967,0.0664,-0.4309,-0.1864,-0.0707,maize
0.3373,-0.3142,-0.6152,-1.2498,-0.2701,0.4368,-0.585,maize
1.3126,-0.5265,-0.5559,-0.9948,-0.2757,0.2606,-0.4571,maize
0.7166,-0.5265,-0.4967,-0.1782,-0.6625,0.2317,-0.2732,maize
0.9875,0.2013,-0.4967,-1.0554,-0.34,-0.0393,-0.7455,maize
0.256,-0.4658,-0.6152,-1.4216,-0.3255,0.0065,-0.4923,maize
1.1772,0.0193,-0.6152,-0.4395,-0.4375,-0.7726,0.0702,maize
1.2043,-0.4658,-0.5164,-1.1391,-0.4599,-0.9549,-0.049,maize
0.9062,-0.2839,-0.5362,-0.7401,-0.43,-0.8,0.0692,maize
0.7166,0.1406,-0.5757,-0.5552,-0.6727,-0.876,-0.034,maize
0.4185,-0.2839,-0.5559,-1.2915,-0.1105,0.3496,-0.4138,maize
0.3373,-0.5568,-0.6349,-0.7089,-0.2752,-0.2547,-0.3591,maize
0.7708,-0.2536,-0.5559,-0.3577,-0.5497,-0.9748,-0.2457,maize
0.5811,0.2013,-0.4572,-1.4007,-0.1103,-0.8995,-0.2796,maize
0.4456,-0.0716,-0.4769,-0.4174,-0.4565,-1.1442,-0.7041,maize
0.9604,-0.5265,-0.4769,0.1844,0.0634,-0.8817,-0.5483,maize
0.6895,-0.1626,-0.5954,-1.2485,-0.083,-0.8963,-0.3686,maize
0.6624,-0.011,-0.5954,-0.9733,-0.5411,0.5109,0.0034,maize
0.825,-0.2536,-0.4967,-1.2424,-0.1549,-0.3581,-0.3501,maize
0.6082,-0.2536,-0.5362,-0.1997,0.0947,0.2162,-0.1251,maize
0.554,-0.5568,-0.4769,-0.6602,-0.5373,-0.8311,-0.646,maize
1.2314,0.0193,-0.5164,0.0169,-0.4559,0.6344,-0.3687,maize
1.3126,-0.4355,-0.5954,-1.2671,-0.1427,-0.461,-0.2841,maize
0.3102,-0.1626,-0.5559,-0.7732,-0.4945,0.3088,-0.141,maize
0.9604,-0.4962,-0.6349,-1.0072,-0.5512,-1.1734,-0.6525,maize
1.1772,-0.102,-0.5757,-0.4568,0.0963,-0.7706,-0.1069,maize
0.6895,-0.4355,-0.4769,-0.2689,-0.7114,0.6803,-0.7139,maize
0.7166,-0.0413,-0.6152,-0.1486,-0.2579,-0.9753,-0.5031,maize
0.6353,-0.4355,-0.4967,-0.5906,-0.2564,0.4023,-0.2783,maize
0.825,-0.1323,-0.5559,-1.4961,-0.4882,-1.2352,0.014,maize
0.3373,-0.3446,-0.5362,-0.465,0.0382,-0.8673,-0.6618,maize
1.3126,-0.4658,-0.5362,-0.5398,0.0052,-0.1512,-0.6504,maize
1.0688,-0.0413,-0.4572,0.0708,-0.0952,0.4564,-0.0044,maize
0.4727,-0.4052,-0.5757,0.1042,-0.237,0.2403,0.0687,maize
0.256,0.1103,-0.4769,-1.3738,-0.446,-0.45,-0.5174,maize
0.554,-0.0413,-0.5954,-0.1004,-0.6966,-0.8772,-0.4605,maize
0.2831,0.1709,-0.6152,-0.4499,-0.5497,0.0064,0.0281,maize
1.0146,-0.4658,-0.6546,-0.1054,-0.2498,-0.0186,-0.7457,maize
0.3915,0.2013,-0.5164,-0.0491,0.0467,0.1777,0.081,maize
0.7437,-0.4962,-0.5164,-0.0541,-0.3668,-0.1795,-0.5268,maize
0.7437,0.1406,-0.6546,-0.1199,-0.1647,0.0764,-0.738,maize
1.123,0.2013,-0.4967,-1.3726,0.0016,-0.9665,-0.6102,maize
0.7708,0.1709,-0.6152,-1.0343,-0.3479,0.2258,0.0918,maize
1.0959,0.0496,-0.6546,-1.486,0.0507,-0.12,-0.4459,maize
0.6895,-0.0716,-0.5954,0.1094,0.0216,-0.2875,-0.4298,maize
0.9875,-0.1626,-0.4572,-1.3752,-0.4539,0.242,-0.1791,maize
0.554,0.2013,-0.5164,0.0906,-0.5441,-0.3421,-0.3223,maize
1.0688,0.1103,-0.4769,-1.321,0.0593,-0.4014,-0.3844,maize
0.4456,-0.5568,-0.5164,-0.4564,-0.37,-0.1083,0.0964,maize
0.256,0.0193,-0.5757,-1.3566,-0.4036,-0.0668,-0.6048,maize
0.8791,0.1406,-0.4967,-1.1603,-0.531,-0.1141,-0.6908,maize
0.8791,0.1103,-0.5757,0.0226,-0.033,0.5278,-0.086,maize
-0.2859,0.5651,0.5698,-1.697,-2.4482,1.3137,-0.2714,chickpea
-0.7465,0.5651,0.708,-1.3028,-2.4417,0.5826,-0.4284,chickpea
-0.313,0.1406,0.7278,-1.5266,-2.5193,-0.6107,-0.6354,chickpea
-0.7736,0.5651,0.7278,-1.3329,-2.5079,-0.1012,-0.2721,chickpea
-0.3943,0.4135,0.5698,-1.4314,-2.3325,0.8831,-0.4404,chickpea
-0.5026,0.5955,0.6488,-1.0203,-2.5194,-0.621,-0.1962,chickpea
0.2018,0.5045,0.708,-0.9801,-2.4653,-0.3081,-0.5242,chickpea
0.2289,0.5045,0.708,-1.6358,-2.3691,1.3975,-0.3794,chickpea
-0.2317,0.2619,0.5303,-1.469,-2.3621,0.6993,-0.3934,chickpea
-0.611,0.6258,0.6488,-1.5019,-2.3888,2.9522,-0.3909,chickpea
0.2018,0.3832,0.6093,-0.9131,-2.3428,2.9062,-0.1804,chickpea
-0.2046,0.3832,0.6093,-1.2156,-2.5274,1.9478,-0.5256,chickpea
0.2018,0.2922,0.6488,-1.1462,-2.5511,0.0595,-0.4459,chickpea
-0.7465,0.2619,0.7278,-1.312,-2.3346,2.6115,-0.4141,chickpea
-0.6381,0.2619,0.5698,-1.4654,-2.5505,0.1382,-0.6057,chickpea
-0.611,0.5651,0.708,-1.3603,-2.3496,0.0159,-0.5803,chickpea
-0.015,0.08,0.55,-0.9128,-2.3192,1.9349,-0.5452,chickpea
-0.313,0.5348,0.708,-1.0537,-2.4748,2.16,-0.3811,chickpea
-0.6923,0.7471,0.55,-1.607,-2.5035,0.9815,-0.6642,chickpea
-0.5297,0.5045,0.5698,-0.9339,-2.5679,0.0298,-0.2366,chickpea
-0.6652,0.8077,0.6883,-1.6852,-2.486,1.3688,-0.5852,chickpea
-0.6923,0.4438,0.5698,-1.0909,-2.5324,1.5922,-0.3224,chickpea
-0.5297,0.7471,0.55,-1.5889,-2.5375,2.65,-0.2576,chickpea
0.256,0.4438,0.6883,-1.2831,-2.3832,0.1957,-0.3264,chickpea
0.2289,0.2619,0.6883,-1.3905,-2.3479,2.1129,-0.5554,chickpea
-0.7736,0.4135,0.5895,-1.6691,-2.5634,-0.343,-0.5667,chickpea
-0.3943,0.3529,0.629,-1.4477,-2.4621,-0.5407,-0.5203,chickpea
0.2289,0.2013,0.708,-1.3009,-2.3728,1.5786,-0.1593,chickpea
0.0934,0.7168,0.7278,-1.6739,-2.4447,1.7573,-0.3589,chickpea
-0.2046,0.4438,0.6488,-1.6075,-2.4058,0.3775,-0.4467,chickpea
-0.611,0.6864,0.6685,-0.9976,-2.5708,0.239,-0.3586,chickpea
-0.2317,0.7774,0.7278,-1.6577,-2.5006,-0.4393,-0.4894,chickpea
-0.5026,0.2013,0.6883,-1.1703,-2.3379,3.0498,-0.213,chickpea
-0.7736,0.7471,0.55,-1.5343,-2.3537,2.7815,-0.4939,chickpea
-0.5297,0.7774,0.5303,-1.3424,-2.4878,2.2428,-0.2499,chickpea
-0.611,0.1406,0.6488,-1.6081,-2.4682,-0.3736,-0.1841,chickpea
0.1747,0.1406,0.5698,-1.3609,-2.4214,1.9509,-0.4052,chickpea
-0.042,0.0496,0.5895,-1.3749,-2.4846,1.8011,-0.396,chickpea
-0.1233,0.6864,0.5698,-1.4579,-2.327,0.6441,-0.3588,chickpea
0.0934,0.2316,0.5698,-1.344,-2.5278,-0.3398,-0.4717,chickpea
-0.3401,0.2013,0.55,-1.3759,-2.4113,3.1008,-0.4647,chickpea
0.2289,0.0496,0.6093,-1.0368,-2.4523,2.9682,-0.386,chickpea
-0.3943,0.6864,0.5303,-1.4291,-2.4639,2.9297,-0.5996,chickpea
0.1747,0.4438,0.6488,-1.6683,-2.434,2.0828,-0.5583,chickpea
-0.4214,0.3832,0.6488,-1.2336,-2.5027,-0.4281,-0.3315,chickpea
-0.4214,0.3226,0.5895,-1.5185,-2.5702,1.3275,-0.3292,chickpea
0.0392,0.2013,0.6093,-1.2173,-2.3922,2.4694,-0.5065,chickpea
-0.6381,0.6864,0.6883,-1.2815,-2.541,-0.2325,-0.252,chickpea
0.1747,0.2013,0.708,-1.2865,-2.4359,0.1516,-0.5091,chickpea
0.0392,0.4438,0.5895,-1.6061,-2.4494,0.5519,-0.3169,chickpea
-0.2046,0.7774,0.6093,-1.2264,-2.3587,1.7283,-0.4225,chickpea
-0.1775,0.6258,0.7278,-1.0725,-2.3292,0.8804,-0.4587,chickpea
-0.7194,0.0496,0.5895,-1.6421,-2.5306,0.2323,-0.5075,chickpea
-0.5839,0.7168,0.5303,-1.6025,-2.5159,1.6919,-0.5554,chickpea
-0.8278,0.2013,0.5895,-1.4704,-2.5509,-0.1431,-0.2309,chickpea
0.1476,0.4135,0.5895,-1.5885,-2.4603,2.3082,-0.4667,chickpea
-0.3672,0.3832,0.7278,-0.9253,-2.3617,-0.0172,-0.4622,chickpea
-0.042,0.5348,0.55,-1.1664,-2.419,0.1856,-0.3255,chickpea
0.2289,0.4742,0.629,-1.2912,-2.4087,2.1917,-0.6198,chickpea
-0.8278,0.7774,0.5698,-1.3958,-2.4914,1.524,-0.4939,chickpea
-0.7194,0.08,0.7278,-1.4651,-2.4291,0.0987,-0.4154,chickpea
0.0121,0.5651,0.5303,-1.3289,-2.5378,0.8203,-0.425,chickpea
0.1747,0.5955,0.7278,-1.407,-2.55,1.1484,-0.2096,chickpea
-0.7736,0.3226,0.6685,-1.2101,-2.4399,0.0059,-0.2903,chickpea
0.0392,0.5955,0.6093,-1.651,-2.3691,1.7717,-0.1722,chickpea
-0.5839,0.6561,0.5303,-1.1836,-2.3706,0.7694,-0.2731,chickpea
-0.1775,0.1709,0.5895,-0.976,-2.3194,1.4598,-0.34,chickpea
-0.2588,0.4742,0.6685,-1.1047,-2.4641,0.3181,-0.6276,chickpea
0.0392,0.08,0.7278,-1.0859,-2.5626,0.4493,-0.269,chickpea
-0.4485,0.6864,0.629,-0.9796,-2.4995,1.9592,-0.6957,chickpea
-0.2317,0.6258,0.6883,-1.2559,-2.5698,1.3903,-0.6858,chickpea
-0.4485,0.5348,0.6093,-1.5187,-2.499,1.6278,-0.5246,chickpea
-0.6381,0.5955,0.6093,-1.2747,-2.5,1.1444,-0.3779,chickpea
-0.5568,0.5045,0.6093,-1.0561,-2.3142,1.0903,-0.6155,chickpea
0.1747,0.1103,0.5303,-1.684,-2.3914,1.7002,-0.2946,chickpea
-0.6381,0.7774,0.6685,-1.6889,-2.4234,-0.21,-0.5932,chickpea
-0.5026,0.5348,0.7278,-0.9854,-2.5627,-0.0846,-0.2074,chickpea
-0.5297,0.6864,0.6685,-0.9464,-2.4094,1.4601,-0.4415,chickpea
-0.4755,0.6561,0.708,-1.2156,-2.37,0.9661,-0.6306,chickpea
-0.0962,0.8077,0.5698,-1.6659,-2.4733,1.4108,-0.5572,chickpea
0.0934,0.2619,0.629,-1.6053,-2.475,1.3183,-0.4369,chickpea
-0.0962,0.7774,0.5895,-1.6063,-2.5483,0.1812,-0.698,chickpea
-0.4214,0.1103,0.6883,-1.2114,-2.4276,1.3018,-0.418,chickpea
0.0663,0.5955,0.5698,-1.1659,-2.3984,1.1062,-0.5427,chickpea
-0.1504,0.2316,0.5895,-1.2108,-2.4898,0.0257,-0.3992,chickpea
-0.3672,0.7471,0.6093,-1.1187,-2.5453,1.7019,-0.269,chickpea
-0.5568,0.6561,0.6488,-1.2243,-2.4564,-0.0789,-0.6364,chickpea
-0.3672,0.0496,0.6685,-1.2168,-2.4017,2.5258,-0.4553,chickpea
0.0663,0.3529,0.55,-1.0716,-2.4737,2.9085,-0.4755,chickpea
-0.7736,0.2013,0.7278,-1.3386,-2.5492,1.7351,-0.158,chickpea
0.256,0.2316,0.5895,-0.9687,-2.3202,-0.1969,-0.1716,chickpea
-0.2317,0.4135,0.5698,-1.308,-2.4954,0.8335,-0.4507,chickpea
-0.313,0.6864,0.55,-1.1156,-2.5118,2.1537,-0.6244,chickpea
-0.4214,0.2922,0.55,-1.5408,-2.4204,1.6086,-0.2301,chickpea
-0.5568,0.3529,0.6685,-0.9683,-2.525,0.8198,-0.4857,chickpea
0.1747,0.08,0.5895,-1.6345,-2.3688,3.0914,-0.6463,chickpea
-0.0691,0.3529,0.5895,-1.6156,-2.5672,1.7985,-0.5527,chickpea
-0.3943,0.08,0.6883,-1.3271,-2.3236,1.2707,-0.6255,chickpea
-0.2859,0.1406,0.5303,-1.3875,-2.5474,0.9029,-0.2521,chickpea
-0.042,0.4742,0.6685,-1.4421,-2.5213,1.0257,-0.3945,chickpea
-1.0174,0.2013,-0.4572,-1.6749,-2.2861,-1.0126,0.4512,kidneybeans
-0.6923,0.5045,-0.6349,-1.1815,-2.362,-0.9179,0.0527,kidneybeans
-0.5297,0.0496,-0.5164,-0.5339,-2.2527,-0.7707,0.1049,kidneybeans
-0.2859,0.3226,-0.6349,-1.8139,-2.1224,-0.7015,0.6717,kidneybeans
-1.3154,0.2316,-0.5559,-0.6867,-2.1771,-0.6641,-0.4882,kidneybeans
-0.6652,0.3529,-0.5164,-1.5344,-2.3679,-0.6714,0.7213,kidneybeans
-0.909,0.1103,-0.5362,-1.1323,-2.2987,-0.8792,-0.7743,kidneybeans
-0.6652,0.8077,-0.5954,-1.2427,-2.1631,-1.1482,0.0239,kidneybeans
-0.909,0.1709,-0.6152,-1.4221,-2.1589,-1.0076,0.5372,kidneybeans
-0.6381,0.1709,-0.5164,-0.7515,-2.1688,-0.8728,0.4841,kidneybeans
-0.611,0.1406,-0.4769,-1.1633,-2.3901,-0.9322,0.7334,kidneybeans
-0.6923,0.1103,-0.5757,-1.6715,-2.3187,-1.167,-0.2815,kidneybeans
-0.611,0.8077,-0.6152,-1.184,-2.3726,-0.8531,0.7406,kidneybeans
-0.6923,0.2013,-0.5164,-0.7871,-2.2599,-0.7524,0.5624,kidneybeans
-1.0445,0.7471,-0.4967,-1.8866,-2.3702,-0.6092,-0.2802,kidneybeans
-1.2071,0.7168,-0.4572,-0.9885,-2.1169,-0.8746,-0.6156,kidneybeans
-0.7736,0.7774,-0.6152,-0.828,-2.2951,-0.7201,0.2376,kidneybeans
-0.6381,0.8077,-0.6546,-1.2929,-2.2585,-0.8802,-0.3138,kidneybeans
-1.0987,0.0496,-0.4967,-0.8746,-2.3293,-0.958,0.6139,kidneybeans
-0.7465,0.3529,-0.5559,-0.5083,-2.2039,-0.8214,0.0893,kidneybeans
-0.8549,0.7471,-0.6349,-0.9802,-2.1734,-0.6487,-0.6506,kidneybeans
-0.8549,0.3529,-0.4572,-1.4855,-2.3896,-1.0913,0.7521,kidneybeans
-0.7736,0.5045,-0.5757,-1.4575,-2.2645,-1.2328,-0.619,kidneybeans
-0.3672,0.3226,-0.5164,-1.6068,-2.3657,-0.6653,0.3363,kidneybeans
-1.0716,0.5348,-0.6152,-1.1253,-2.2467,-0.9344,-0.3782,kidneybeans
-0.8819,0.7774,-0.5559,-1.055,-2.1675,-0.7653,0.6604,kidneybeans
-0.8007,0.2922,-0.6152,-1.9442,-2.3475,-0.6326,0.0888,kidneybeans
-0.7194,0.8077,-0.5164,-1.7589,-2.3499,-1.0772,-0.1218,kidneybeans
-0.4485,0.2013,-0.5164,-1.5713,-2.3959,-1.0782,-0.0508,kidneybeans
